link_meci,data_meci,echipa_gazda,echipa_oaspete,forma_puncte_gazda,forma_puncte_oaspete,h2h_victorii_gazda,h2h_gazda,medie_goluri_gazda,medie_goluri_oaspete,medie_goluri_primite_gazda,medie_goluri_primite_oaspete,medie_suturi_pe_poarta_gazda,medie_suturi_pe_poarta_oaspete,medie_total_suturi_gazda,medie_total_suturi_oaspete,medie_cornere_gazda,medie_cornere_oaspete,medie_cartonase_galbene_gazda,medie_cartonase_galbene_oaspete,medie_cartonase_rosii_gazda,medie_cartonase_rosii_oaspete,medie_ofsaiduri_gazda,medie_ofsaiduri_oaspete,medie_lovituri_libere_gazda,medie_lovituri_libere_oaspete,medie_interventii_portar_gazda,medie_interventii_portar_oaspete,medie_posesie_minge_gazda,medie_posesie_minge_oaspete,rezultat,loc_clasament_gazda,loc_clasament_oaspete
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=EsFCyXoK,2022-04-25,Farul Constanța,FCSB,7,10,0,0.0,1.0,1.6,0.8,0.8,3.8,7.0,7.4,11.2,6.4,5.8,2.2,3.2,0.0,0.0,1.8,1.8,12.0,17.6,2.6,2.0,52.6,58.6,2,11,3
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/sepsi-IDsPIcMA/sumar/statistici/0/?mid=IJiRQ9Yf,2022-04-29,Sepsi Sf. Gheorghe,Gaz Metan Mediaș,12,0,0,1.0,2.4,0.0,0.8,4.6,6.8,0.6,12.4,3.8,8.4,1.4,2.6,1.4,0.0,0.0,1.6,0.6,16.8,21.4,1.2,5.4,56.6,39.0,1,5,15
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/rapid-bucuresti-YFCpigVG/sumar/statistici/0/?mid=4zfwO7ID,2022-04-29,Chindia Târgoviște,Rapid București,5,7,0,0.0,0.6,1.2,1.0,1.0,4.8,3.4,9.4,7.4,2.2,3.6,1.6,1.6,0.0,0.0,1.6,1.4,13.6,14.0,2.2,3.2,46.6,49.2,0,12,4
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=QJaJUwiQ,2022-04-30,Dinamo București,LPS HD Clinceni,4,0,0,0.0,1.4,0.0,2.2,3.2,4.0,1.6,6.8,4.4,2.8,3.8,3.2,2.0,0.0,0.0,2.8,2.0,13.2,15.2,2.2,3.6,48.8,44.4,1,14,16
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=6ufiUlvf,2022-04-30,Univ. Craiova,FC Voluntari,15,1,0,1.0,2.0,0.2,0.4,2.2,3.6,2.4,10.0,6.0,4.6,4.0,2.2,2.4,0.0,0.0,2.4,1.6,11.2,13.6,1.4,3.4,50.8,43.8,1,1,13
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/fcu-1948-craiova-nNhLpi8p/sumar/statistici/0/?mid=h61BWaMD,2022-05-01,U Craiova 1948,UTA Arad,11,2,0,0.0,2.4,0.2,1.2,0.8,6.0,3.2,12.0,6.2,5.6,3.4,1.4,2.0,0.0,0.0,1.4,0.6,12.0,12.8,2.6,4.6,51.0,50.0,1,6,9
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/farul-constanta-CrJbN1Pa/sumar/statistici/0/?mid=bFjqWA9s,2022-05-01,CFR Cluj,Farul Constanța,12,6,0,1.0,2.2,0.8,0.8,0.8,5.6,3.4,10.2,7.8,5.4,4.2,1.4,1.4,0.0,0.0,2.2,1.8,12.8,12.2,3.2,3.2,56.8,50.4,1,4,11
https://www.flashscore.ro/meci/fotbal/dacia-mioveni-WSNaPsAg/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=Wd0FVJyK,2022-05-02,CS Mioveni,FC Botoșani,8,4,0,0.0,1.0,1.0,1.0,2.0,2.0,2.8,4.8,6.2,3.0,5.6,3.2,2.2,0.0,0.0,1.0,2.2,16.4,13.8,1.4,2.0,45.0,50.8,2,10,7
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=SlemVUOm,2022-05-02,FCSB,FC Argeș,9,9,0,1.0,1.4,0.8,0.8,1.2,6.0,3.0,15.2,5.6,5.8,4.8,2.4,2.6,0.0,0.0,1.8,1.4,18.0,15.2,3.0,2.8,55.4,49.0,1,3,8
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=2uioQcas,2022-05-06,Gaz Metan Mediaș,LPS HD Clinceni,0,0,0,0.0,0.2,0.2,2.4,3.8,1.0,1.4,2.8,4.2,2.0,4.0,1.2,2.0,0.0,0.0,0.6,2.2,18.6,13.6,4.2,4.4,42.8,44.2,1,15,16
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=p4tjPHEm,2022-05-06,FC Botoșani,Dinamo București,9,6,0,1.0,1.8,1.0,0.8,1.8,3.4,2.2,7.0,5.8,5.4,5.0,3.8,3.6,0.0,0.0,3.4,2.6,14.8,19.2,4.0,3.0,52.4,49.8,2,7,14
https://www.flashscore.ro/meci/fotbal/dacia-mioveni-WSNaPsAg/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=OfufOyUg,2022-05-07,UTA Arad,CS Mioveni,12,7,0,1.0,2.0,1.4,0.6,1.4,5.4,4.0,10.8,9.2,6.8,5.2,2.0,2.0,0.0,0.0,4.8,2.2,13.8,14.8,1.4,3.0,57.6,45.4,1,9,10
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=f1n4RnOC,2022-05-07,Farul Constanța,FC Voluntari,4,1,0,1.0,0.4,0.2,1.6,1.8,3.0,2.2,6.4,6.0,6.0,3.4,2.2,2.4,0.0,0.0,2.0,2.0,11.6,13.8,3.4,3.4,51.2,44.2,0,11,14
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/fc-arges-65I2MLv6/sumar/statistici/0/?mid=l4qdT8g0,2022-05-07,FC Argeș,CFR Cluj,4,10,0,0.0,0.6,1.2,1.8,0.6,3.0,3.2,7.0,7.0,2.8,3.8,2.0,2.4,0.0,0.0,1.0,1.6,14.4,14.4,3.4,1.8,46.6,50.8,2,8,3
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/sepsi-IDsPIcMA/sumar/statistici/0/?mid=WKr2MFb6,2022-05-08,Sepsi Sf. Gheorghe,Chindia Târgoviște,15,6,0,0.0,3.0,1.4,0.6,0.6,7.2,5.0,13.0,9.2,9.2,5.2,2.8,1.4,0.0,0.0,2.2,3.0,14.0,14.6,1.6,1.4,57.2,51.4,1,4,12
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=0vm0SS86,2022-05-08,Univ. Craiova,FCSB,15,10,0,0.0,1.8,1.8,0.4,0.8,3.8,8.0,10.0,11.8,3.8,5.6,2.4,2.8,0.0,0.0,1.8,2.0,12.0,17.0,1.6,2.0,52.8,55.2,2,1,3
https://www.flashscore.ro/meci/fotbal/fcu-1948-craiova-nNhLpi8p/rapid-bucuresti-YFCpigVG/sumar/statistici/0/?mid=hUqbNeq0,2022-05-09,Rapid București,U Craiova 1948,15,7,0,0.0,3.2,1.2,0.2,1.0,8.0,4.4,13.6,9.6,8.8,5.2,1.4,3.2,0.0,0.0,3.0,1.2,11.4,13.4,1.4,3.0,53.4,54.8,2,6,5
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=EqY6LZDC,2022-05-13,Chindia Târgoviște,Gaz Metan Mediaș,5,0,0,0.0,0.4,0.2,0.8,4.4,4.8,1.4,9.8,4.2,2.2,2.0,1.6,1.4,0.0,0.0,2.0,0.2,11.8,21.4,2.4,5.0,45.4,39.2,1,12,15
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=GnmMRAzn,2022-05-13,Dinamo București,UTA Arad,7,1,0,0.0,2.2,0.2,1.2,1.0,5.6,3.0,10.4,7.0,4.0,4.0,3.4,2.0,0.0,0.0,2.6,0.6,12.0,13.4,1.6,4.2,51.2,51.0,0,13,8
